지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
108,서울,2020-01-01,-2.2,-6.5,1,.3,1457,.1
108,서울,2020-01-02,1,-.7,1,3.8,1500,
108,서울,2020-01-03,-.1,-3.4,807,4.6,1547,
108,서울,2020-01-04,1.2,-2.8,512,6.1,1450,
108,서울,2020-01-05,1.3,-3.2,821,6.6,1453,
108,서울,2020-01-06,3.1,.6,53,4.6,1158,1.8
108,서울,2020-01-07,6.3,4.2,1,7.7,2350,46.3
108,서울,2020-01-08,2.4,-.4,2336,8.9,47,11.6
108,서울,2020-01-09,-1.2,-3.1,2349,2,1534,
108,서울,2020-01-10,-.6,-4.3,453,4.2,1534,
108,서울,2020-01-11,-.1,-2.6,806,3.9,1334,
108,서울,2020-01-12,-1,-3.5,633,2.8,1551,
108,서울,2020-01-13,-2.9,-4.7,632,.2,1422,
108,서울,2020-01-14,-2.3,-5.7,637,2.6,1413,
108,서울,2020-01-15,-2.7,-6.4,722,2.2,1510,
108,서울,2020-01-16,-1.7,-5.5,816,3.2,1430,
108,서울,2020-01-17,-.6,-4.8,720,4.9,1449,
108,서울,2020-01-18,.3,-4.1,802,5.9,1503,
108,서울,2020-01-19,1.9,-.4,3,5.3,1510,.6
108,서울,2020-01-20,.7,-3.3,2324,5.5,1313,
108,서울,2020-01-21,-.4,-5.6,800,5.5,1541,
108,서울,2020-01-22,3,-.1,47,7.8,1447,
108,서울,2020-01-23,4.6,0,802,9.9,1450,
108,서울,2020-01-24,2.8,-1.3,816,7.4,1534,
108,서울,2020-01-25,4.3,.6,251,8.8,1202,
108,서울,2020-01-26,5.5,-.2,747,11.9,1516,
108,서울,2020-01-27,5.9,4.8,2331,7.5,1418,.1
108,서울,2020-01-28,6.8,4.3,231,9.9,1442,0
108,서울,2020-01-29,6,3.2,708,9.6,1450,
108,서울,2020-01-30,5.2,1.4,814,10.4,1249,
108,서울,2020-01-31,3.9,1.4,2357,8.9,1347,0
108,서울,2020-02-01,2.6,-1.2,705,7.6,1556,
108,서울,2020-02-02,1.5,-2.1,747,5.3,1309,
108,서울,2020-02-03,-.4,-2.9,2357,3,1456,0
108,서울,2020-02-04,-1.6,-6,635,3.9,1429,1.7
108,서울,2020-02-05,-8.3,-11,757,-4.9,1601,
108,서울,2020-02-06,-6.4,-11.8,634,.4,1433,
108,서울,2020-02-07,-1.7,-7.2,123,2.2,1533,0
108,서울,2020-02-08,-.1,-2.3,803,3.7,1611,0
108,서울,2020-02-09,-.5,-5.6,742,4.1,1447,0
108,서울,2020-02-10,4,-.7,646,9.6,1500,0
108,서울,2020-02-11,6.8,-.5,711,14.6,1526,
108,서울,2020-02-12,7.4,6.5,1219,8.2,1928,6.7
108,서울,2020-02-13,6.5,4.9,656,8.7,1534,
108,서울,2020-02-14,8.1,3.2,708,14.7,1631,
108,서울,2020-02-15,9.8,6.2,735,15.6,1250,2
108,서울,2020-02-16,-1.4,-4.3,2245,7.7,1,13.4
108,서울,2020-02-17,-5.9,-7.1,2258,-3.9,130,1
108,서울,2020-02-18,-4.1,-8.3,745,1.3,1608,
108,서울,2020-02-19,1,-4.4,624,6.4,1512,
108,서울,2020-02-20,4.6,-.6,659,10.8,1547,
108,서울,2020-02-21,6.7,2.1,459,10.9,1438,4.2
108,서울,2020-02-22,4,0,2340,7.9,1246,3.1
108,서울,2020-02-23,2.5,-2.5,645,8,1446,
108,서울,2020-02-24,7,.8,514,12.2,1408,
108,서울,2020-02-25,6.7,4.7,2400,9.4,1642,16.6
108,서울,2020-02-26,6.4,2.8,423,10.4,1513,0
108,서울,2020-02-27,6.1,1.3,657,12.5,1528,
108,서울,2020-02-28,4.5,3.6,1335,5.9,1013,3.9
108,서울,2020-02-29,7.7,4.5,1,13,1550,.5
108,서울,2020-03-01,5.8,3.2,511,10.1,1314,.2
108,서울,2020-03-02,3.4,0,723,7.6,1546,0
108,서울,2020-03-03,4.8,.3,441,10.5,1329,
108,서울,2020-03-04,2.2,-1.3,2351,4.6,1046,0
108,서울,2020-03-05,1.4,-2.8,654,6.3,1527,
108,서울,2020-03-06,3.7,-2.5,718,10.1,1621,
108,서울,2020-03-07,7,1.3,633,14.2,1442,
108,서울,2020-03-08,9.3,2.3,723,16.9,1559,
108,서울,2020-03-09,11.1,4.8,719,17.6,1423,
108,서울,2020-03-10,6.4,3.2,2343,10.8,1,11.8
108,서울,2020-03-11,3.8,0,658,8.3,1454,
108,서울,2020-03-12,6.8,.2,638,13.3,1435,
108,서울,2020-03-13,4.9,-.1,2400,8.7,1427,.5
108,서울,2020-03-14,3.6,-2.7,642,8.6,1440,
108,서울,2020-03-15,4,.2,2335,8.5,1327,
108,서울,2020-03-16,3.6,-2.1,638,9.1,1510,
108,서울,2020-03-17,6.6,3.1,46,12.3,1537,
108,서울,2020-03-18,10,2.7,726,17,1550,
108,서울,2020-03-19,9.1,5.8,2400,12.1,641,0
108,서울,2020-03-20,8.8,3.1,641,14,1421,
108,서울,2020-03-21,12.8,7.9,107,19.5,1538,
108,서울,2020-03-22,11,6.1,631,16.5,1402,
108,서울,2020-03-23,10.6,5.4,516,17,1507,
108,서울,2020-03-24,11.4,5.3,558,17.9,1444,
108,서울,2020-03-25,12.5,6.1,644,19.2,1401,
108,서울,2020-03-26,14.8,8.1,622,20.6,1330,1.8
108,서울,2020-03-27,11.9,6.7,2357,15.8,1512,2
108,서울,2020-03-28,7.7,4.5,622,12.8,1522,
108,서울,2020-03-29,8.7,1.3,632,16.1,1520,
108,서울,2020-03-30,10.2,4.3,658,16.9,1542,
108,서울,2020-03-31,11.9,4.7,622,18.6,1401,
108,서울,2020-04-01,11.3,6,2358,17.4,1350,
108,서울,2020-04-02,9.3,3.4,613,15.5,1315,
108,서울,2020-04-03,10,5.3,504,16.3,1434,
108,서울,2020-04-04,8.9,5,2358,13.3,1505,
108,서울,2020-04-05,7.2,1.9,605,13.7,1516,
108,서울,2020-04-06,9.3,2.9,601,16.1,1348,
108,서울,2020-04-07,10.6,6,430,16.8,1416,
108,서울,2020-04-08,9.4,5.2,457,14.2,1557,
108,서울,2020-04-09,8.9,4.3,604,14.7,1437,
108,서울,2020-04-10,10.7,5.8,520,16.8,1527,
108,서울,2020-04-11,9.9,6.2,630,16,1441,
108,서울,2020-04-12,9.9,4.4,617,15.6,1136,
108,서울,2020-04-13,12.4,4.3,617,20.4,1617,
108,서울,2020-04-14,13,7.6,631,19.6,1351,
108,서울,2020-04-15,13.2,7.2,609,20.2,1510,
108,서울,2020-04-16,16,8.9,353,23.8,1535,
108,서울,2020-04-17,12.5,10.4,959,15.4,201,6.5
108,서울,2020-04-18,13.5,8.5,632,19.6,1455,
108,서울,2020-04-19,12.3,9.5,2300,15.5,1332,10.3
108,서울,2020-04-20,10,7.6,2353,13.1,1059,.1
108,서울,2020-04-21,7.4,4.8,2257,10.4,1418,
108,서울,2020-04-22,6,4.1,550,8.3,1405,0
108,서울,2020-04-23,7.9,2.9,543,12.8,1456,
108,서울,2020-04-24,9.9,4.1,612,14.3,1409,
108,서울,2020-04-25,13.1,9.9,1,17.1,1447,
108,서울,2020-04-26,12.3,6.8,612,19,1527,
